event_id,event_name,tier,category,sub_category,format,scope,location_city,location_country,location_venue,date_start,date_end,registration_deadline,season_quarter,months_from_now,entry_cost_brl,entry_cost_usd,travel_cost_brl,total_cost_brl,prize_pool_usd,prize_1st_usd,prize_type,reward_employment,reward_scholarship,reward_certification,reward_mentorship,eligibility,eligibility_detail,team_size_min,team_size_max,ai_required,tech_stack_required,platform_url,source_file,scholarship_weight_0_10,employment_weight_0_10,storytelling_weight_0_10,innovation_weight_0_10,status,notes
HK11,MLH Global Hack Week – AI/ML Week,B,hackathon,themed_week,online,global,,global,online,2026-05-01,2026-05-07,,Q2,3,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free,1,5,required,AI/ML frameworks,https://ghw.mlh.io/,web_research,2,5,3,6,upcoming,AI/ML focus — Google Cloud Gemini partnership
HK12,MLH Global Hack Week – Open Source,B,hackathon,themed_week,online,global,,global,online,2026-10-16,2026-10-23,,Q4,8,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free — Hacktoberfest tie-in,1,5,optional,Open source,https://ghw.mlh.io/,web_research,2,4,4,5,upcoming,DigitalOcean Hacktoberfest partnership — open source contributions
HK13,MLH Global Hack Week – Beginners,B,hackathon,themed_week,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free — designed for beginners,1,5,optional,Any,https://ghw.mlh.io/,web_research,2,3,3,4,recurring,Beginner-friendly — GHW runs ~8 themed weeks per season
HK14,MLH 2026 Season Hackathons (University),A,hackathon,collegiate,hybrid,global,,global,various,2026-07-04,2026-06-30,,Q1-Q4,0,0,0,0,0,0,0,hardware+swag+ranking,no,no,yes,no,student,Primarily collegiate — MLH Season rankings,1,5,optional,Any,https://www.mlh.com/seasons/2026/events,web_research,3,5,4,6,ongoing,200+ member events per season — school rankings — Cal Hacks / Hack the North / HackMIT — sponsor prizes at each
HK15,RSAC Innovation Sandbox 2026,S,startup,cybersecurity,in_person,global,San Francisco,USA,RSAC Conference,2026-03-23,2026-03-23,,Q1,1,0,0,0,0,0,0,vc_interest+title,yes,no,yes,no,professional,Cybersecurity startup — advanced stage,1,5,required,,https://www.prnewswire.com/,Competitive Programming Hackathon Information.md,3,10,7,10,upcoming,Most Innovative Startup title — significant VC interest
HK16,AI Summit Brasil 2026 – Salvador Stage,A,conference,ai_summit,in_person,national,Salvador,Brazil,SENAI CIMATEC Piatã,2026-04-22,2026-04-23,,Q2,2,300,0,0,300,0,0,networking+recognition,yes,no,yes,yes,open,Paid event ~R$600-900 — volunteer hack: free entry,1,1,required,,https://aisummitbrasil.com/,_Salvador Tech Contests & Events .md,8,8,8,7,confirmed,Corporate AI event — volunteer strategy for free access — networking with AI directors
HK17,ExpoTech 2026 (FIEB),B,hackathon,open_innovation,in_person,national,Salvador,Brazil,SENAI CIMATEC,2026-07-27,2026-07-28,,Q3,5,0,0,0,0,0,0,prizes_tbd,yes,no,yes,no,open,FIEB organized — industrial innovation (cosmetics/paints/tech),1,5,optional,,https://fieb.org.br/,_Salvador Tech Contests & Events .md,4,6,5,7,upcoming,Open Innovation Challenges — industries present problem — devs compete to solve
HK18,NASA Space Apps Challenge Salvador 2026,A,hackathon,space_tech,in_person,global,Salvador,Brazil,SENAI CIMATEC or BTX venue,2026-10-03,2026-10-04,,Q4,8,0,0,0,0,0,0,nasa_nomination+recognition,no,no,yes,no,open,None — 48h hackathon solving NASA problems,1,5,optional,NASA open data,https://www.spaceapps.com/,Presencial-2.md,9,5,9,9,upcoming,Largest hackathon in the world — Salvador has huge edition — Global Nominee = elite credential
HK19,Bahia Tech Experience (BTX) 2026,B,conference,tech_expo,in_person,regional,Salvador,Brazil,Centro de Convenções or CIMATEC,2026-10-01,2026-10-31,,Q4,8,0,0,0,0,0,0,networking,no,no,no,no,open,None,1,1,optional,,https://btx.ba.gov.br/,Presencial-2.md,3,5,5,5,upcoming,Rock in Rio of Bahia tech — networking central
HK20,Mistral AI Worldwide Hackathon 2026,A,hackathon,agentic_ai,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,recognition,yes,no,yes,no,open,Global — open-weight model experimentation,1,5,required,Mistral AI models,,Global Technical Talent Assessment.md,4,7,5,9,ongoing,Ongoing global call — autonomous system boundaries
HK21,Hedera Hello Future Apex – AI & Agents Track,S,hackathon,web3_ai,online,global,,global,online,2026-02-17,2026-03-23,2026-03-23,Q1,1,0,0,0,0,40000,0,cash,no,no,yes,no,open,DLT + AI skills — microtransaction agent coordination,1,5,required,Hedera / AI agents,,Global Technical Talent Assessment.md,4,7,6,10,registration_open,$250k total pool — $40k AI/agents track — agent-to-agent via microtx
HK22,RAISE 2026 Global AI Hackathon,S,hackathon,frontier_ai,hybrid,global,Paris,France,Paris venue + hybrid,2026-07-08,2026-07-09,,Q3,5,0,0,0,0,200000,0,cash,yes,no,yes,yes,open,Hybrid/Global — Frontier and Future AI lenses,1,5,required,Any AI stack,,Global Technical Talent Assessment.md,6,8,8,10,upcoming,World's largest global AI hackathon — €200k prize pool
HK23,MLSys 2026 – Agent Reasoning Track,A,competition,ml_systems,in_person,global,,global,,,,2026-04-24,,Q2,2,0,0,0,0,0,0,gpu_prizes+conf_reg,yes,no,yes,no,professional,Gemini API mastery — graph scheduling focus,1,4,required,Google Gemini API,,Global Technical Talent Assessment.md,5,8,6,9,upcoming,AWS Trainium MoE Kernel + Google Graph Scheduling — AI agent graph puzzles
HK24,Complete AI Hackathon (Lablab.ai),B,hackathon,multi_agent,online,global,,global,online,2026-02-16,2026-02-22,2026-02-16,Q1,0,0,0,0,0,10000,0,cash+credits,no,no,yes,no,open,Multi-agent focus — teams build end-to-end product,1,5,required,Multiple AI agents,,Global Technical Talent Assessment.md,3,5,4,8,active,Multiple AI agents in shared workspaces
HK25,AI Trading Agents (ERC-8004),A,competition,defi_agents,online,global,,global,online,2026-03-09,2026-03-22,,Q1,1,0,0,0,0,50000,0,funded_account,no,no,no,no,open,Web3 + AI finance — trustless on-chain strategies,1,4,required,Solidity / AI / DeFi,,Global Technical Talent Assessment.md,2,6,5,9,upcoming,$50k funded trading account with shared profits
HK26,IBM watsonx Orchestrate Hackathon,B,hackathon,enterprise_agents,online,global,,global,online,2026-01-30,2026-02-01,,Q1,0,0,0,0,0,10000,0,cash,yes,no,yes,no,open,Agent governance — automate workflows,1,5,required,IBM watsonx Orchestrate,,Global Technical Talent Assessment.md,3,6,4,7,active,Digital skills automation — $10k pool
HK27,Commit To Change Hackathon,B,hackathon,llm_dev,online,global,,global,online,2026-01-13,2026-02-10,,Q1,0,0,0,0,0,30000,0,cash,no,no,yes,no,open,LLM/Python/TypeScript skills,1,5,required,LLM frameworks,,Global Technical Talent Assessment.md,4,6,5,7,completed,$30k in prizes
HK28,AI DevSummit Hackathon 2026,A,hackathon,ai_general,hybrid,global,San Francisco,USA,Virtual + SF,2026-05-28,2026-05-28,,Q2,4,0,0,0,0,12500,0,cash,no,no,yes,no,open,Virtual + San Francisco,1,5,required,AI stack,,Global Technical Talent Assessment.md,3,5,5,7,upcoming,$12.5k prize value
HK29,NVIDIA Agentic AI Bootcamp,B,bootcamp,agentic_ai,online,global,,global,online,2026-03-05,2026-03-09,,Q1,1,0,0,0,0,0,0,training_cert,no,no,yes,no,open,Virtual agent development focus,1,1,required,NVIDIA stack,,Global Technical Talent Assessment.md,4,6,4,8,upcoming,5-day intensive bootcamp — production agent skills
HK30,ODSC AI Accelerator 2026,A,bootcamp,llm_training,online,global,,global,online,2026-02-24,2026-10-31,,Q1-Q4,0,0,0,0,0,0,0,training_cert,no,no,yes,yes,open,7-week program culminating at ODSC AI West,1,1,required,LLMs / Fine-Tuning / Agents,,Global Technical Talent Assessment.md,5,7,5,8,upcoming,Covers LLMs — Fine-Tuning — Agentic AI workflows
HK31,Oxum Hacker Conference Salvador,B,conference,infosec,in_person,regional,Salvador,Brazil,UFBA,2026-01-31,2026-01-31,,Q1,0,0,0,0,0,0,0,networking,no,no,no,no,open,Hacking community — linked to Parque Tecnológico,1,1,optional,,https://ufba.br/,_Salvador Tech Contests & Events .md,2,4,4,5,completed,Strong link between Parque Tecnológico and hacking community
HK32,GDG Salvador DevFest / Build With AI,B,meetup,developer_community,in_person,regional,Salvador,Brazil,Hub Salvador,2026-11-01,2026-11-30,,Q4,9,0,0,0,0,0,0,networking+learning,no,no,no,no,open,Code Labs — race to finish tutorial/challenge,1,1,optional,Google tech,https://gdg.community.dev/,_Salvador Tech Contests & Events .md,2,5,3,4,upcoming,DevFests / IO Extended / Code Labs — find study partners
HK33,AfroPython Conf Salvador 2026,B,conference,python_community,in_person,regional,Salvador,Brazil,Casa Rosa Rio Vermelho,2026-06-01,2026-06-30,,Q2,4,0,0,0,0,0,0,networking+learning,no,no,no,no,open,Algorithms + Career track — group LeetCode/HackerRank practice,1,1,optional,Python,,Presencial-2.md,3,4,5,4,upcoming,Most welcoming community — great for finding study squad
HK34,Agentic India 30,B,hackathon,ai_agents,online,regional,,India,online,2026-02-02,2026-02-25,,Q1,0,0,0,0,0,0,0,mentorship+prototypes,no,no,yes,yes,student,1st/early year students,1,5,required,AI agent frameworks,,Global Technical Talent Assessment.md,3,4,4,7,active,Mentorship-driven — AI prototype building
HK35,picoCTF 2026,A,ctf,jeopardy,online,global,,global,online,2026-03-01,2026-04-30,,Q1-Q2,1,0,0,0,0,0,0,ranking+cash,no,no,yes,no,student,High school and university students — all skill levels welcome,1,5,not_applicable,,https://picoctf.org/,web_research,5,5,5,6,upcoming,Carnegie Mellon's premier educational CTF — progressive difficulty — picoGym for year-round practice — massive participation 10k+ teams
HK36,Google CTF 2026,S,ctf,jeopardy,online,global,,global,online,2026-06-01,2026-07-31,,Q2-Q3,4,0,0,0,0,0,0,ranking+prestige,no,no,yes,no,open,None — advanced level,1,5,not_applicable,,https://capturetheflag.withgoogle.com/,web_research,4,7,6,7,upcoming,Elite CTF — quals online then finals — pathway to DEF CON CTF — high prestige in infosec
HK37,Huntress CTF 2026,B,ctf,month_long,online,global,,global,online,2026-10-01,2026-10-31,,Q4,8,0,0,0,0,0,0,ranking+prizes,no,no,yes,no,open,None — month-long format — new challenges daily,1,5,not_applicable,,https://www.huntress.com/,web_research,3,5,4,5,upcoming,Month-long October CTF — daily new challenges — beginner to advanced — good first CTF
HK38,Hack The Box University CTF 2026,A,ctf,jeopardy,online,global,,global,online,2026-12-01,2026-12-15,,Q4,10,0,0,0,0,0,0,ranking+prizes,no,no,yes,no,student,University students — teams — annual competition,1,5,not_applicable,,https://ctf.hackthebox.com/,web_research,4,6,5,6,upcoming,6th annual — real-world cybersec challenges — pwn/web/crypto/forensics — massive global participation
HK39,Fetch the Flag CTF 2026 (Snyk),A,ctf,jeopardy,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,ranking+prizes,no,no,yes,no,open,None — AI security focused,1,5,not_applicable,,https://snyk.io/,web_research,3,6,4,6,upcoming,AI security focused CTF — $800k+ in prizes across 12 AI hacking competitions
HK40,ETHGlobal Events 2026,S,hackathon,web3,hybrid,global,,global,online+cities,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,100000,0,cash+bounties,no,no,yes,no,open,None — multiple events per year worldwide,1,5,optional,Ethereum / Solidity / Web3,https://ethglobal.com/,web_research,3,7,6,9,recurring,Premier web3 hackathon series — ETHGlobal NYC/Brussels/London/Bangkok — $100k+ per event — bounties from sponsors — virtual tracks available
HK41,Solana Hackathons 2026 (Colosseum),A,hackathon,web3,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,100000,0,cash+funding,no,no,yes,no,open,Solana ecosystem — online,1,5,optional,Solana / Rust / Anchor,https://www.colosseum.org/,web_research,3,7,5,9,recurring,Colosseum runs perpetual Solana hackathons — $100k+ per round — top projects get accelerator funding — Privacy Hack Feb 2026
HK42,dAGI House AI x Web3 Hackathon,A,hackathon,ai_web3,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,AI + Web3 intersection,1,5,required,AI + blockchain,https://dagihousehackathon.devpost.com/,web_research,3,6,5,9,active,AI agents + decentralized infrastructure — emerging convergence
HK43,Gitcoin Grants Rounds 2026,B,bounty,open_source,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,crypto_grants,no,no,no,no,open,Open source developers — Ethereum ecosystem,1,1,optional,Any — Web3 preferred,https://gitcoin.co/,web_research,2,5,4,7,recurring,Quadratic funding — $60M+ distributed total — quarterly grant rounds — build open source for crypto bounties
HK44,Superteam Earn (Solana Bounties),B,bounty,web3,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,crypto_bounties,no,no,no,no,open,None — 150k+ earned,1,1,optional,Solana / content / design,https://superteam.fun/earn,web_research,2,5,3,6,recurring,Crypto bounties — development / content / design — 150k+ talent reach — Solana ecosystem
HK45,HackenProof Bug Bounties 2026,B,bounty,cybersecurity,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,crypto_bounties,yes,no,yes,no,open,Security researchers — web3 focus,1,1,not_applicable,,https://hackenproof.com/programs,web_research,2,6,3,5,recurring,Web3 bug bounty platform — crypto project security auditing — ongoing programs
HK46,Lablab.ai Hackathons (Rolling),A,hackathon,ai_agents,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,10000,0,cash+credits,no,no,yes,yes,open,None — multiple per month,1,5,required,Various AI APIs,https://lablab.ai/ai-hackathons,web_research,4,6,5,8,recurring,Internet of Agents / AI Genesis / themed hackathons — Coral Protocol — Google Gemini — continuous pipeline — 10+ hackathons per quarter
HK47,AGENTATHON 2026,A,hackathon,ai_agents,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,Autonomous AI agent builders,1,5,required,Multi-agent frameworks,,web_research,3,6,5,9,active,Dedicated agentic AI competition — multi-step workflow automation — LLM orchestration
HK48,AWS AI Agent Global Hackathon,A,hackathon,ai_agents,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,cash+credits,yes,no,yes,no,open,AWS account required,1,5,required,AWS Bedrock / AgentCore,,web_research,4,8,5,8,active,Build autonomous AI agents with AWS services — enterprise focused
HK49,Roo Code Hackathon,A,hackathon,ai_coding,online,global,,global,online,2026-02-01,2026-02-28,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,Build AI projects using Roo Code,1,5,required,Roo Code / AI,https://roo-code-hackathon.devpost.com/,web_research,3,5,4,7,active,Building AI-powered projects with Roo Code — creative AI applications
HK50,Supabase Launch Week Hackathons,B,hackathon,fullstack,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,Must use Supabase — multiple per year,1,5,optional,Supabase / Next.js / React,https://supabase.com/blog,web_research,2,4,4,6,recurring,Quarterly launch week hackathons — keyboard prizes — swag kits — build with new Supabase features — pgvector / Edge Functions
HK51,Vercel AI Hackathon / Ship It,B,hackathon,fullstack_ai,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,credits+recognition,no,no,yes,no,open,Must deploy on Vercel,1,5,optional,Vercel / Next.js / AI SDK,https://vercel.com/,web_research,2,5,4,6,recurring,Builder economy — deploy AI apps on Vercel — frontend cloud platform integration
HK52,DevPost Open Hackathons (Rolling),B,hackathon,general,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,varies,no,no,yes,no,open,Varies per event — 50+ active at any time,1,5,optional,Varies,https://devpost.com/hackathons,web_research,3,5,4,6,recurring,World's largest hackathon platform — 50+ open hackathons at any time — portfolio builder — CompeteHub aggregator
HK53,Hack for Humanity 2026,A,hackathon,social_impact,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+recognition,no,no,yes,no,open,Social impact focus,1,5,optional,Any,https://devpost.com/,web_research,6,4,7,7,active,Social impact hackathon — UN SDGs alignment — great storytelling for scholarships
HK54,RevenueCat Shipyard Creator Contest,B,hackathon,mobile_apps,online,global,,global,online,2026-02-01,2026-02-26,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,Must use RevenueCat SDK,1,5,optional,RevenueCat SDK / iOS / Android,https://revenuecat-shipyard-2026.devpost.com/,web_research,2,5,4,6,active,Ship apps with monetization — 7 winners announced Feb 26 — product quality focus
HK55,Hack The Coast / Hack@Brown / HoyaHacks,B,hackathon,collegiate,in_person,national,,USA,various,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,swag+prizes,no,no,yes,no,student,University students — MLH sanctioned,1,5,optional,Any,https://www.mlh.com/seasons/2026/events,web_research,3,4,4,5,recurring,Top collegiate hackathons in MLH 2026 season — UTRA Hacks / SB Hacks XII / Hard Hack / various regional events
HK56,WiDS Datathon 2026,A,data_science,social_impact,online,global,,global,online,2026-01-01,2026-04-30,,Q1-Q2,0,0,0,0,0,0,0,ranking+recognition,no,no,yes,yes,open,Women in Data Science focus — open to all,1,5,required,Python / ML,https://www.widsconference.org/,web_research,6,6,7,7,active,Stanford-based — global datathon — social impact datasets — great for diversity scholarship storytelling
HK57,NFL Big Data Bowl 2026 (Kaggle),S,data_science,sports_analytics,online,global,,global,online,2026-01-01,2026-06-30,,Q1-Q2,0,0,0,0,0,100000,0,cash,yes,no,yes,no,open,None — Kaggle hosted,1,5,required,Python / R / ML,https://www.kaggle.com/competitions/nfl-big-data-bowl-2026,web_research,4,8,6,8,active,$100k prize pool — NFL partnership — high-profile data science competition
HK58,Internet of Agents Hackathon (Lablab.ai + Solana),A,hackathon,ai_web3,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,AI + Coral Protocol + Solana,1,5,required,Coral Protocol / MCP / Solana,https://lablab.ai/ai-hackathons/internet-of-agents,web_research,3,6,5,9,active,Decentralized AI agent collaboration — MCP-powered — healthcare/code review/research agents
HK59,AI Genesis Hackathon (Lablab.ai + Google),A,hackathon,ai_multimodal,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,Build with Gemini + Google AI Studio,1,5,required,Google Gemini / Qdrant / Opus,https://lablab.ai/ai-hackathons/ai-genesis,web_research,3,6,5,8,active,Multimodal AI with Gemini 2.0 — vector search — agent automation — project management AI
HK60,Autonomous Hacks AI Hackathon,A,hackathon,ai_agents,hybrid,global,,global,online+finale,2026-01-01,2026-01-31,,Q1,0,0,0,0,0,0,0,cash+prizes,no,no,yes,no,open,Autonomous AI agents — finale Jan 2026,1,5,required,LLM / autonomous agents,,web_research,3,6,5,9,completed,Online Dec 2025 then in-person finale Jan 2026 — autonomous agent systems
HK61,BuidL2Launch Hackathon (Web3),B,hackathon,web3,online,global,,global,online,2026-02-01,2026-03-31,,Q1,0,0,0,0,0,0,0,cash+deployment,no,no,yes,no,open,Web3 builders — ChatAndBuild + Vercel,1,5,optional,Smart contracts / Vercel / GitHub Spark,,web_research,2,5,4,7,active,Builder economy — hackathon→live product pipeline — GitHub Spark AI-powered development
HK62,Hack the 6ix / Hack the North 2026,A,hackathon,collegiate,hybrid,national,,Canada,various,2026-09-01,2026-10-31,,Q3-Q4,7,0,0,0,0,0,0,prizes+swag,no,no,yes,no,student,University students — Canada's premier hackathons,1,5,optional,Any,https://hackthenorth.com/,web_research,4,5,5,6,upcoming,Canada's largest hackathons — Hack the North (Waterloo) flagship — international applications accepted
HK63,CodeLaunch USA 2026,A,startup,accelerator,in_person,national,,USA,,,,2026-02-01,Q1,0,0,0,0,0,0,0,dev_team_support,no,no,no,yes,founder,US-based founder,1,5,optional,,https://codelaunch.com/events/2026-usa-ga/,Competitive Programming Hackathon Information.md,3,7,5,8,deadline_passed,Professional dev team support — startup accelerator competition
HK64,HackerRank HackFest,C,hackathon,monthly,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,badges+recruiting,yes,no,yes,no,open,None,1,1,optional,,https://www.hackerrank.com/contests,Competitive Programming Hackathon Information.md,1,5,2,2,recurring,Monthly — digital badges — recruiting pipeline access
HK65,Polkadot / Substrate Hackathons 2026,A,hackathon,web3,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,cash+bounties,no,no,yes,no,open,Web3 — Substrate/Polkadot ecosystem,1,5,optional,Substrate / Rust / Polkadot,,web_research,3,6,5,8,recurring,Polkadot ecosystem hackathons — parachain development — cross-chain interoperability
